timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];paddle_pos_filt [deg];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
901.7589;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.75995;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76065;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7617;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76275;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7638;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76485;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7659;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76695;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76765;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7687;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.76975;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7708;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.77185;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7729;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.77395;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.77465;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7757;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.77675;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7778;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.77885;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7799;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
901.7806;0.0004513873428;0;350;0;0.4559999704;-0.2279999852;2.514985323;0;10;0.009999999776;0;0.0003000000142;0;0.03535000235;11.70944405;0;0;0;0
