timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
1319.21125;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2123;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.21335;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2144;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.21545;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.21615;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2172;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.21825;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2193;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.22035;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2214;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.22245;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.22315;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2242;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.22525;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2263;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.22735;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2284;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.22945;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.23015;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2312;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.23225;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2333;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.23435;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2354;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2361;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.23715;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2382;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.23925;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2403;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.24135;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2424;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2431;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.24415;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2452;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.24625;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2473;-0.0004305528419;0;350;0;0.9119999409;1.299533844;0;0;0;0;0
1319.24835;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2494;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2501;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.25115;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2522;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.25325;-0.0004305528419;0;350;0;0.9119999409;1.298423767;0;0;0;0;0
1319.2543;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.25535;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2564;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2571;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.25815;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2592;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.26025;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2613;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.26235;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.26305;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2641;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.26515;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2662;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.26725;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2683;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.26935;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.27005;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2711;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.27215;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2732;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.27425;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2753;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.27635;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.27705;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2781;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.27915;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2802;-0.0004305528419;0;350;0;0.9119999409;1.299533844;0;0;0;0;0
1319.28125;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2823;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.28335;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.28405;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2851;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.28615;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.2872;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.28825;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2893;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.29035;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.29105;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2921;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.29315;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.2942;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.29525;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2963;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.297;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.29805;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.2991;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.30015;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3012;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.30225;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3033;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.304;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.30505;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3061;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.30715;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.3082;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.30925;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3103;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.311;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.31205;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3131;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.31415;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3152;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.31625;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.31695;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.318;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.31905;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3201;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.32115;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3222;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.32325;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.32395;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.325;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.32605;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.3271;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.32815;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3292;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.33025;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.33095;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.332;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.33305;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3341;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.33515;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3362;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.33725;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.33795;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.339;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.34005;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3411;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.34215;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3432;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3439;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.34495;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.346;-0.0004305528419;0;350;0;0.9119999409;1.299533844;0;0;0;0;0
1319.34705;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3481;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.34915;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3502;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3509;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.35195;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.353;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.35405;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3551;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.35615;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3572;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3579;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.35895;-0.0004305528419;0;350;0;0.9119999409;1.299533844;0;0;0;0;0
1319.36;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.36105;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3621;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.36315;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3642;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3649;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.36595;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.367;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.36805;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3691;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.37015;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.37085;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.3719;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.37295;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.374;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.37505;-0.0004305528419;0;350;0;0.9119999409;1.302863836;0;0;0;0;0
1319.3761;-0.0004305528419;0;350;0;0.9119999409;1.301753879;0;0;0;0;0
1319.37715;-0.0004305528419;0;350;0;0.9119999409;1.299533844;0;0;0;0;0
1319.37785;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
1319.3789;-0.0004305528419;0;350;0;0.9119999409;1.300643802;0;0;0;0;0
