timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];encoder_paddle_vel2 [deg/s];hall_paddle_pos [deg];hall_paddle_vel [deg/s];hall_paddle_vel2 [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
81.25915;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;0;0;0;0;0
81.2602;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5690079;-219.127121;0;0;0;0
81.2609;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5690079;-109.5690079;0;0;0;0
81.26195;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;0;0;0;0;0
81.263;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;0;0;0;0;0
81.26405;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;54.77905655;0;0;0;0
81.2651;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5799103;-219.1598206;0;0;0;0
81.26615;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;0.01089913584;0;0;0;0
81.2672;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5799103;-109.5853577;0;0;0;0
81.2679;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-219.1489105;-438.297821;0;0;0;0
81.26895;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5799103;-219.1598206;0;0;0;0
81.27;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;109.5799103;164.3807678;0;0;0;0
81.27105;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;109.5690079;109.5581131;0;0;0;0
81.2721;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5690079;-219.127121;0;0;0;0
81.27315;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;-54.77905655;0;0;0;0
81.2742;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;109.5690079;164.3535156;0;0;0;0
81.2749;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;-109.5799103;-219.1598206;0;0;0;0
81.27595;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;0;109.5690079;0;0;0;0
81.277;-0.0002738121548;0;350;0;3.551999807;1.357253909;0;-1.064368735e-05;0.3529396057;109.5799103;109.5962601;0;0;0;0
