timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
56.8582;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.85925;0.0002335781173;0;350;0;-43.09199905;1.310633898;0;0;0;0;0
56.8603;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.86135;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8624;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.86345;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8645;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8652;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.86625;0.0002335781173;0;350;0;-43.09199905;1.310633898;0;0;0;0;0
56.8673;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.86835;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8694;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.87045;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.87115;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8722;0.0002335781173;0;350;0;-43.09199905;1.313963771;0;0;0;0;0
56.87325;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8743;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.87535;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8764;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.87745;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.87815;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8792;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.88025;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8813;0.0002335781173;0;350;0;-43.09199905;1.313963771;0;0;0;0;0
56.88235;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8834;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.88445;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.88515;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8862;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.88725;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8883;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.88935;0.0002335781173;0;350;0;-43.09199905;1.320623875;0;0;0;0;0
56.8904;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.89145;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.89215;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8932;0.0002335781173;0;350;0;-43.09199905;1.313963771;0;0;0;0;0
56.89425;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8953;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.89635;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.8974;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.8981;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.89915;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.9002;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.90125;0.0002335781173;0;350;0;-43.09199905;1.312853932;0;0;0;0;0
56.9023;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.90335;0.0002335781173;0;350;0;-43.09199905;1.311743855;0;0;0;0;0
56.9044;0.0002335781173;0;350;0;-43.08000183;1.312853932;0;0;0;0;0
56.9051;0.0002335781173;0;350;0;-43.08000183;1.312853932;0;0;0;0;0
56.90615;0.0002335781173;0;350;0;-43.08000183;1.312853932;0;0;0;0;0
