timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];paddle_pos_filt [deg];paddle_speed_filt [deg/s];paddle_accel_filt [deg/s^2];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
69.49005;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;17.97101593;101.9102936;-1399.333618;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49075;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.04031754;100.8056641;-1141.303589;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.4918;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.1133976;84.14152527;-2828.304688;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49285;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.20719337;87.00712585;-1892.087646;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.4939;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.28704834;79.46887207;-3975.51123;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49495;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.39702034;91.36377716;-2059.977051;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.496;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.49438477;91.32086182;-1339.426025;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49705;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.58086014;87.44702148;-17.91943359;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49775;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.63280869;81.82282257;-2613.6521;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.4988;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.70703125;74.12081909;-4413.054688;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.49985;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.77623749;69.6136322;-2151.720703;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.5009;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.86681557;77.73703766;-1090.853882;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
69.50195;0.01804474741;0.01771797054;350;-0.0009532268159;-0.04800000042;18.93534088;70.82050323;-2596.736328;2.493895054;0;0;0;0;0;0;0;0;0;0;0;0
