timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];paddle_pos_filt [deg];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
116.8489;-0.0002144378959;0;350;0;1.214885235;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.84995;-0.0002144378959;0;350;0;1.20937705;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.851;-0.0002144378959;0;350;0;1.221101046;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.85205;-0.0002144378959;0;350;0;1.212327838;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8531;-0.0002144378959;0;350;0;1.216218114;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.85415;-0.0002144378959;0;350;0;1.21491158;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8552;-0.0002144378959;0;350;0;1.223728299;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8559;-0.0002144378959;0;350;0;1.216161728;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.85695;-0.0002144378959;0;350;0;1.221168518;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.858;-0.0002144378959;0;350;0;1.222164512;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.85905;-0.0002144378959;0;350;0;1.212832689;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8601;-0.0002144378959;0;350;0;1.216457844;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86115;-0.0002144378959;0;350;0;1.221309185;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86185;-0.0002144378959;0;350;0;1.222744703;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8629;-0.0002144378959;0;350;0;1.235503674;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86395;-0.0002144378959;0;350;0;1.238405585;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.865;-0.0002144378959;0;350;0;1.233499527;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86605;-0.0002144378959;0;350;0;1.236073256;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8671;-0.0002144378959;0;350;0;1.233774066;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86815;-0.0002144378959;0;350;0;1.237584472;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.86885;-0.0002144378959;0;350;0;1.230877399;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8699;-0.0002144378959;0;350;0;1.223252416;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.87095;-0.0002144378959;0;350;0;1.221404195;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.872;-0.0002144378959;0;350;0;1.237997293;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.87305;-0.0002144378959;0;350;0;1.233305573;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8741;-0.0002144378959;0;350;0;1.23246026;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.87515;-0.0002144378959;0;350;0;1.225775242;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.87585;-0.0002144378959;0;350;0;1.217407346;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8769;-0.0002144378959;0;350;0;1.210574389;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.87795;-0.0002144378959;0;350;0;1.207330704;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.879;-0.0002144378959;0;350;0;1.213845968;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88005;-0.0002144378959;0;350;0;1.220069289;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8811;-0.0002144378959;0;350;0;1.219893217;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88215;-0.0002144378959;0;350;0;1.211754441;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88285;-0.0002144378959;0;350;0;1.215158939;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8839;-0.0002144378959;0;350;0;1.227366805;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88495;-0.0002144378959;0;350;0;1.22964108;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.886;-0.0002144378959;0;350;0;1.216381907;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88705;-0.0002144378959;0;350;0;1.229328275;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8881;-0.0002144378959;0;350;0;1.22919035;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8888;-0.0002144378959;0;350;0;1.219485641;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.88985;-0.0002144378959;0;350;0;1.222746491;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8909;-0.0002144378959;0;350;0;1.213108897;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.89195;-0.0002144378959;0;350;0;1.213435769;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.893;-0.0002144378959;0;350;0;1.221645951;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.89405;-0.0002144378959;0;350;0;1.228674889;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8951;-0.0002144378959;0;350;0;1.211021423;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8958;-0.0002144378959;0;350;0;1.222767949;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.89685;-0.0002144378959;0;350;0;1.227457881;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.8979;-0.0002144378959;0;350;0;1.215345502;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.89895;-0.0002144378959;0;350;0;1.228836179;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9;-0.0002144378959;0;350;0;1.215999842;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.90105;-0.0002144378959;0;350;0;1.226018071;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9021;-0.0002144378959;0;350;0;1.227618933;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9028;-0.0002144378959;0;350;0;1.224812984;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.90385;-0.0002144378959;0;350;0;1.218991876;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9049;-0.0002144378959;0;350;0;1.219381571;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.90595;-0.0002144378959;0;350;0;1.23075211;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.907;-0.0002144378959;0;350;0;1.216909289;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.90805;-0.0002144378959;0;350;0;1.232733488;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9091;-0.0002144378959;0;350;0;1.225904942;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9098;-0.0002144378959;0;350;0;1.217486262;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.91085;-0.0002144378959;0;350;0;1.21061182;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9119;-0.0002144378959;0;350;0;1.218533874;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.91295;-0.0002144378959;0;350;0;1.232122898;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.914;-0.0002144378959;0;350;0;1.239955664;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.91505;-0.0002144378959;0;350;0;1.22756207;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.91575;-0.0002144378959;0;350;0;1.224778414;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9168;-0.0002144378959;0;350;0;1.239599109;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.91785;-0.0002144378959;0;350;0;1.226010919;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
116.9189;-0.0002144378959;0;350;0;1.214658618;2.590465069;0;0;0;0;0;0;0;0;0;0;0;0
