timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];paddle_pos_filt [deg];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
237.9944;-0.0004256109532;0;350;0;0.6630772352;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
237.99545;-0.0004256109532;0;350;0;0.6360442042;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
237.99615;-0.0004256109532;0;350;0;0.6353882551;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
237.9972;-0.0004256109532;0;350;0;0.6456613541;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
237.99825;-0.0004256109532;0;350;0;0.6424830556;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
237.9993;-0.0004256109532;0;350;0;0.6217320561;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.00035;-0.0004256109532;0;350;0;0.6391785741;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0014;-0.0004256109532;0;350;0;0.6604202986;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0021;-0.0004256109532;0;350;0;0.6519933939;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.00315;-0.0004256109532;0;350;0;0.6549272537;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0042;-0.0004256109532;0;350;0;0.6661245823;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.00525;-0.0004256109532;0;350;0;0.6539685726;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0063;-0.0004256109532;0;350;0;0.6674412489;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.00735;-0.0004256109532;0;350;0;0.6496683955;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0084;-0.0004256109532;0;350;0;0.6506924629;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0091;-0.0004256109532;0;350;0;0.6604140997;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.01015;-0.0004256109532;0;350;0;0.6494864225;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0112;-0.0004256109532;0;350;0;0.625056684;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.01225;-0.0004256109532;0;350;0;0.653716445;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0133;-0.0004256109532;0;350;0;0.6494380236;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.01435;-0.0004256109532;0;350;0;0.6442759633;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0154;-0.0004256109532;0;350;0;0.6561654806;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0161;-0.0004256109532;0;350;0;0.6539177895;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.01715;-0.0004256109532;0;350;0;0.6562306881;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0182;-0.0004256109532;0;350;0;0.6604584455;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.01925;-0.0004256109532;0;350;0;0.6414507031;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0203;-0.0004256109532;0;350;0;0.6467692256;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.02135;-0.0004256109532;0;350;0;0.6591209173;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0224;-0.0004256109532;0;350;0;0.6569275856;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0231;-0.0004256109532;0;350;0;0.6418129206;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.02415;-0.0004256109532;0;350;0;0.6487113237;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0252;-0.0004256109532;0;350;0;0.6600427628;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.02625;-0.0004256109532;0;350;0;0.6398947239;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0273;-0.0004256109532;0;350;0;0.6540856361;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.02835;-0.0004256109532;0;350;0;0.6594401598;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.02905;-0.0004256109532;0;350;0;0.6513969898;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0301;-0.0004256109532;0;350;0;0.6532609463;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.03115;-0.0004256109532;0;350;0;0.6380339265;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0322;-0.0004256109532;0;350;0;0.6339604259;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.03325;-0.0004256109532;0;350;0;0.6498864889;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0343;-0.0004256109532;0;350;0;0.6431080103;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.03535;-0.0004256109532;0;350;0;0.6363691688;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.03605;-0.0004256109532;0;350;0;0.6436410546;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0371;-0.0004256109532;0;350;0;0.6429072022;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.03815;-0.0004256109532;0;350;0;0.6492307186;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.0392;-0.0004256109532;0;350;0;0.6585175991;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
238.04025;-0.0004256109532;0;350;0;0.6391485333;2.503885031;0;10;0.05000000075;0;0;0;0;0;0;0;0;0
